zipcode,HUC8,HUC4,triplet1,triplet2,triplet3,triplet1last,triplet2last,triplet3last
32920,3080202,308,3080202,3080101,3080203,0202,0101,0203
32925,3080202,308,3080202,3080101,3080203,0202,0101,0203
32931,3080202,308,3080202,3080101,3080203,0202,0101,0203
32935,3080202,308,3080202,3080101,3080203,0202,0101,0203
32937,3080202,308,3080202,3080101,3080203,0202,0101,0203
32950,3080202,308,3080202,3080101,3080203,0202,0101,0203
32951,3080202,308,3080202,3080101,3080203,0202,0101,0203
32952,3080202,308,3080202,3080101,3080203,0202,0101,0203
32953,3080202,308,3080202,3080101,3080203,0202,0101,0203
32959,3080202,308,3080202,3080101,3080203,0202,0101,0203
32958,3080203,308,3080203,3080202,3080101,0203,0202,0101
32960,3080203,308,3080203,3080202,3080101,0203,0202,0101
