HUC8,HUC4,region
14040104,1404,
14040105,1404,
14040106,1404,
14040107,1404,
14040108,1404,
14040109,1404,
14040200,1404,
14050001,1405,
14050002,1405,
14050003,1405,
14050004,1405,
14050005,1405,
14050006,1405,
14050007,1405,
14060003,1406,
14060004,1406,
14060005,1406,
14060006,1406,
14060007,1406,
14060008,1406,
14060009,1406,
14060010,1406,
14070001,1407,
14070002,1407,
14070003,1407,
14070004,1407,
14070005,1407,
14070006,1407,
14070007,1407,
14080101,1408,
14080102,1408,
14080103,1408,
14080104,1408,
14080105,1408,
14080106,1408,
14080107,1408,
14080201,1408,
14080202,1408,
14080203,1408,
14080204,1408,
14080205,1408,
15010001,1501,
15010002,1501,
15010003,1501,
15010004,1501,
15010005,1501,
15010006,1501,
15010007,1501,
15010008,1501,
15010009,1501,
15010010,1501,
15010011,1501,
15010012,1501,
15010013,1501,
15010014,1501,
15010015,1501,
15020001,1502,
15020002,1502,
15020003,1502,
15020004,1502,
15020005,1502,
15020006,1502,
15020007,1502,
15020008,1502,
15020009,1502,
15020010,1502,
15020011,1502,
15020012,1502,
15020013,1502,
15020014,1502,
15020015,1502,
15020016,1502,
15020017,1502,
15020018,1502,
15030101,1503,
15030102,1503,
15030103,1503,
15030104,1503,
15030105,1503,
15030106,1503,
15030107,1503,
15030108,1503,
15030201,1503,
15030202,1503,
15030203,1503,
15030204,1503,
15040001,1504,
15040002,1504,
15040003,1504,
15040004,1504,
15040005,1504,
15040006,1504,
15040007,1504,
15050100,1505,
15050201,1505,
15050202,1505,
15050203,1505,
15050301,1505,
15050302,1505,
15050303,1505,
15050304,1505,
15050305,1505,
15050306,1505,
15060101,1506,
15060102,1506,
15060103,1506,
15060104,1506,
15060105,1506,
15060106,1506,
15060201,1506,
15060202,1506,
15060203,1506,
15070101,1507,
15070102,1507,
15070103,1507,
15070104,1507,
15070201,1507,
15070202,1507,
15070203,1507,
15080101,1508,
15080102,1508,
15080103,1508,
15080200,1508,
15080301,1508,
15080302,1508,
15080303,1508,
16010101,1601,
16010102,1601,
16010201,1601,
16010202,1601,
16010203,1601,
16010204,1601,
16020101,1602,
16020102,1602,
16020201,1602,
16020202,1602,
16020203,1602,
16020204,1602,
16020301,1602,
16020302,1602,
16020303,1602,
16020304,1602,
16020305,1602,
16020306,1602,
16020307,1602,
16020308,1602,
16020309,1602,
16020310,1602,
16030001,1603,
16030002,1603,
16030003,1603,
16030004,1603,
16030005,1603,
16030006,1603,
16030007,1603,
16030008,1603,
16030009,1603,
16040101,1604,
16040102,1604,
16040103,1604,
16040104,1604,
16040105,1604,
16040106,1604,
16040107,1604,
16040108,1604,
16040109,1604,
16040201,1604,
16040202,1604,
16040203,1604,
16040204,1604,
16040205,1604,
16050101,1605,
16050102,1605,
16050103,1605,
16050104,1605,
16050201,1605,
16050202,1605,
16050203,1605,
16050301,1605,
16050302,1605,
16050303,1605,
16050304,1605,
16060001,1606,
16060002,1606,
16060003,1606,
16060004,1606,
16060005,1606,
16060006,1606,
16060007,1606,
16060008,1606,
16060009,1606,
16060010,1606,
16060011,1606,
16060012,1606,
16060013,1606,
16060014,1606,
16060015,1606,
17010101,1701,NW
17010102,1701,NW
17010103,1701,NW
17010104,1701,NW
17010105,1701,NW
