HUC8,BCG
18040010,6
18040011,6
18040012,5
18040013,3
18040014,6
18040051,6
18050001,4
18050002,5
18050003,3
18050004,5
18050005,4
18050006,3
18060002,3
18060003,3
18060004,3
18060005,3
18060006,3
18060007,4
18060008,3
18060009,4
18060010,3
18060013,3
18060014,3
18060015,3
18070101,4
18070102,3
18070103,5
18070104,4
18070105,4
18070106,4
18070107,4
18070201,5
18070202,4
18070203,3
18070204,5
18070301,4
18070302,3
18070303,4
18070304,4
18070305,3
18080001,
18080002,
18080003,
18090101,4
18090102,3
18090103,3
18090201,3
18090202,4
18090203,3
18090204,3
18090205,3
18090206,2
18090207,3
18090208,3
18100100,3
18100201,4
18100202,4
18100203,3
18100204,5
